,Unnamed: 0,Star_name,Distance,Mass,Radius
113,113,2MASS J11145133−2618235,18.2,3.3911789999999997,0.00091640448
114,114,TWA 26,137.0,3.08289,0.0021000936
116,116,2MASS J11544223-3400390 [de],129.0,3.802231,0.001431882
117,117,2MASSW J1155395-372735 [de],31.0,6.576832,0.000954588
120,120,2MASS J12074836-3900043,217.0,1.7469709999999998,0.00163234548
121,121,2MASSI J1217110-031113 [de],36.0,4.316046,0.00089731272
124,124,2M 1237+6526,45.6,4.213283,0.00089731272
126,126,TWA 29,262.0,2.5690749999999998,0.001909176
127,127,SDSSp J125453.90-012247.4 [de],38.0,4.829860999999999,0.00093549624
128,128,Kelu-1A,61.0,6.474068999999999,0.00093549624
129,129,Kelu-1B,61.0,5.960254,0.00093549624
130,130,2MASS J13204427+0409045,101.0,6.885121,0.00096413388
131,131,SDSSp J132629.82-003831.5 [de],65.0,5.240913,0.00092595036
132,132,SDSSp J134646.45-003150.4 [de],48.0,4.521572,0.00089731272
133,133,2MASS J13595510-4034582,51.0,6.474068999999999,0.000954588
134,134,ULAS J141623.94+134836.3,29.7,3.288416,0.00091640448
135,135,SDSS J141659.78+500626.4 [de],149.0,6.063016999999999,0.0009450421200000001
136,136,DENIS-P J142527.97-365023.4 [de],38.0,2.158023,0.00126005616
137,137,LHS 2924,38.5,7.809988,0.0010118632800000002
138,138,2MASS J14392837+1929150,47.0,7.398935999999999,0.0009832256400000002
139,139,LSPM J1440+1339,72.0,9.454196,0.00113595972
140,140,2MASS J14482563+1031590 [de],47.0,6.063016999999999,0.0009450421200000001
141,141,CFBDSIR 1458+10A,104.0,1.1406692999999999,0.001431882
142,142,CFBDSIR 1458+10B,104.0,0.9248669999999999,0.0012409644000000001
143,143,TVLM 513-46546,35.1,7.707224999999999,0.0010023174
144,144,2MASS 1503+2525,20.7,4.521572,0.00089731272
145,145,CFBDS J150411+102717,71.0,4.521572,0.00089731272
146,146,2MASSW J1506544+132106 [de],46.0,7.090647,0.0009736797600000001
147,147,2MASS 1507−1627,23.9,6.16578,0.0009450421200000001
148,148,TVLM 868-110639,53.0,8.118276999999999,0.0010309550400000001
150,150,2MASSW J1515008+484742 [de],34.0,5.857491,0.0009450421200000001
151,151,2MASSI J1526140+204341 [de],67.0,5.549201999999999,0.00093549624
152,152,DENIS-P J153941.96-052042.4 [de],51.0,6.474068999999999,0.000954588
153,153,2MASS J15462718-3325111 [de],37.0,4.521572,0.00089731272
154,154,2MASSW J1552591+294849 [de],68.0,3.08289,0.00136506084
155,155,2MASSW J1555157-095605 [de],44.0,7.296173,0.0009832256400000002
156,156,2MASS J16150413+1340079 [de],48.0,4.316046,0.00089731272
157,157,SDSSp J162414.37+002915.6 [de],36.0,4.4188089999999995,0.00089731272
158,158,2MASS J16262034+3925190 [de],110.0,7.296173,0.0009832256400000002
159,159,2MASSW J1632291+190441 [de],50.0,5.035387,0.00092595036
160,160,WISEPA J164715.59+563208.2,28.0,4.213283,0.00089731272
161,161,LSPM J1658+7027 [de],60.0,7.5016989999999995,0.00099277152
162,162,2MASSI J1726000+153819,114.0,2.466312,0.0013364232
164,164,SDSSp J175032.96+175903.9,90.0,4.829860999999999,0.00092595036
165,165,2MASS J18283572-4849046,39.0,4.624334999999999,0.0009068586
166,166,LSR J1835+3259,18.5,7.912750999999999,0.00102140916
167,167,2MASSW J1841086+311727,138.0,6.885121,0.00096413388
168,168,2MASS J18432213+4040209,46.0,9.865248,0.00116459736
169,169,2MASS J20004841-7523070,105.0,2.5690749999999998,0.00179462544
170,170,SDSS J204749.61-071818.3,65.0,4.727098,0.00091640448
171,171,2MASSI J2057540-025230,47.0,7.193409999999999,0.0009736797600000001
